red_fighter_name,blue_fighter_name,date,red_fighter_total_pts,blue_fighter_total_pts
WILLIAM GOMIS,OANDERSON BRITO,09/28/2024,"['29', '28', '29']","['28', '29', '28']"
CHRIS CURTIS,KELVIN GASTELUM,04/08/2023,"['28', '27', '28']","['29', '30', '29']"
CHARLES JOURDAIN,ANDRE EWELL,12/18/2021,"['30', '30', '29']","['27', '26', '27']"
REITSURUYA,CARLOS HERNANDEZ,06/29/2024,"['29', '29', '29']","['28', '28', '28']"
DANIELZELLHUBER,ESTEBAN RIBOVICS,09/14/2024,"['28', '29', '28']","['29', '28', '29']"
TREVIN GILES,PRESTON PARSONS,03/25/2023,"['29', '28', '29']","['28', '29', '28']"
LUIS SALDANA,BRUNO SOUZA,03/26/2022,"['29', '29', '29']","['28', '28', '28']"
BRYAN BARBERENA,DARIAN WEEKS,12/04/2021,"['29', '29', '29']","['28', '28', '28']"
JORDAN WRIGHT,BRUNO SILVA,12/11/2021,"['-', '-', '-']","['-', '-', '-']"
MARC DIAKIESE,VIACHESLAVBORSHCHEV,03/26/2022,"['30', '30', '30']","['27', '27', '27']"
SEAN WOODSON,DENNIS BUZUKIA,08/05/2023,"['30', '30', '30']","['27', '27', '27']"
ZHANG WEILI,AMANDA LEMOS,08/19/2023,"['50', '49', '50']","['43', '45', '44']"
MIRANDAMAVERICK,DIONEBARBOSA,07/20/2024,"['29', '30', '30']","['28', '27', '27']"
JOSH FREMD,ANDREPETROSKI,07/13/2024,"['27', '27', '27']","['30', '30', '30']"
TREVOR PEEK,YANALASHMOUZ,09/07/2024,"['28', '27', '28']","['29', '30', '29']"
KURT HOLOBAUGH,AUSTINHUBBARD,08/19/2023,"['9', '9', '9']","['10', '10', '10']"
PUNAHELE SORIANO,DALCHA LUNGIAMBULA,07/16/2022,"['9', '9', '6']","['10', '10', '10']"
FRANCISCO FIGUEIREDO,MALCOLMGORDON,07/17/2021,"['27', '28', '28']","['30', '29', '29']"
